區,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,網址
嘉義縣民雄鄉,19037,1976,192,86,275,474,356,226,8314,1644,2302,102,768,126,263,692,159,213,http://www.cec.gov.tw/zh_TW/T4/n706001300000000.html
嘉義縣竹崎鄉,10161,1116,106,58,114,249,124,89,3811,896,906,34,247,79,99,302,89,111,http://www.cec.gov.tw/zh_TW/T4/n706001400000000.html
嘉義縣中埔鄉,11819,1295,126,89,175,297,168,116,4510,940,1277,35,358,69,155,466,102,110,http://www.cec.gov.tw/zh_TW/T4/n706001500000000.html
嘉義縣番路鄉,3156,355,35,21,38,54,39,29,1207,240,265,6,78,12,48,162,20,26,http://www.cec.gov.tw/zh_TW/T4/n706001600000000.html
嘉義縣阿里山鄉,680,195,11,5,9,48,34,10,1190,28,107,3,26,2,9,39,9,16,http://www.cec.gov.tw/zh_TW/T4/n706001700000000.html
嘉義縣大埔鄉,755,133,13,5,2,19,7,9,444,61,55,6,20,2,9,29,8,4,http://www.cec.gov.tw/zh_TW/T4/n706001800000000.html
屏東縣,230968,20564,2209,1296,4370,4997,6059,1636,109481,14358,20635,476,8404,1015,1578,12176,1492,1595,http://www.cec.gov.tw/zh_TW/T4/n707000000000000.html
屏東縣里港鄉,8908,671,41,36,129,116,110,36,2549,555,700,9,249,20,38,266,50,54,http://www.cec.gov.tw/zh_TW/T4/n707000100000000.html
屏東縣高樹鄉,8889,563,54,26,83,114,77,38,2210,526,413,7,159,32,28,194,38,44,http://www.cec.gov.tw/zh_TW/T4/n707000200000000.html
屏東縣三地門鄉,518,233,13,8,25,98,191,42,2366,25,92,1,62,6,19,50,13,6,http://www.cec.gov.tw/zh_TW/T4/n707000300000000.html
屏東縣霧臺鄉,289,100,7,2,20,36,147,3,1037,16,49,0,42,4,13,25,0,4,http://www.cec.gov.tw/zh_TW/T4/n707000400000000.html
屏東縣九如鄉,7960,448,34,37,92,107,87,13,2057,423,531,20,187,23,25,155,46,51,http://www.cec.gov.tw/zh_TW/T4/n707000500000000.html
屏東縣鹽埔鄉,7087,670,45,45,116,189,129,73,3457,444,616,27,204,40,47,212,52,38,http://www.cec.gov.tw/zh_TW/T4/n707000600000000.html
屏東縣長治鄉,8771,674,44,66,183,194,158,45,3862,523,870,22,316,29,43,411,63,54,http://www.cec.gov.tw/zh_TW/T4/n707000700000000.html
屏東縣內埔鄉,16530,1283,92,51,267,285,324,116,6323,1049,1299,38,459,75,69,670,114,105,http://www.cec.gov.tw/zh_TW/T4/n707000800000000.html
屏東縣瑪家鄉,444,256,11,4,33,82,255,20,2103,26,71,0,58,5,11,66,5,4,http://www.cec.gov.tw/zh_TW/T4/n707000900000000.html
屏東縣泰武鄉,311,284,13,6,17,50,109,10,1725,20,82,0,21,3,19,61,6,2,http://www.cec.gov.tw/zh_TW/T4/n707001000000000.html
屏東縣竹田鄉,6091,393,21,38,102,80,79,19,2138,339,429,8,142,18,14,209,31,34,http://www.cec.gov.tw/zh_TW/T4/n707001100000000.html
屏東縣萬巒鄉,6732,416,38,26,89,113,120,29,2141,601,458,14,150,32,19,172,33,46,http://www.cec.gov.tw/zh_TW/T4/n707001200000000.html
屏東縣潮州鎮,14810,1270,113,45,349,321,460,76,6590,833,1422,22,883,58,63,843,76,91,http://www.cec.gov.tw/zh_TW/T4/n707001300000000.html
屏東縣屏東市,49703,5558,342,201,1556,1296,1974,478,30510,3291,5998,118,2779,191,332,5019,326,497,http://www.cec.gov.tw/zh_TW/T4/n707001400000000.html
屏東縣麟洛鄉,3988,292,25,24,56,62,72,13,1477,226,328,11,159,18,17,172,20,25,http://www.cec.gov.tw/zh_TW/T4/n707001500000000.html
屏東縣萬丹鄉,16377,1135,140,113,251,299,213,63,6510,1030,1562,43,467,81,128,642,127,105,http://www.cec.gov.tw/zh_TW/T4/n707001600000000.html
屏東縣新園鄉,12310,736,157,105,147,181,193,112,3200,1040,939,25,291,58,157,313,97,79,http://www.cec.gov.tw/zh_TW/T4/n707001700000000.html
屏東縣崁頂鄉,4729,256,72,42,63,69,79,24,1473,266,357,11,113,29,13,143,22,24,http://www.cec.gov.tw/zh_TW/T4/n707001800000000.html
屏東縣南州鄉,3582,223,42,29,53,106,39,13,1397,222,232,3,82,15,18,106,22,21,http://www.cec.gov.tw/zh_TW/T4/n707001900000000.html
屏東縣新埤鄉,3029,275,56,15,64,53,44,25,1249,227,218,4,85,23,11,107,14,10,http://www.cec.gov.tw/zh_TW/T4/n707002000000000.html
屏東縣來義鄉,351,260,41,9,67,88,224,7,2426,38,125,7,30,8,55,67,13,7,http://www.cec.gov.tw/zh_TW/T4/n707002100000000.html
屏東縣東港鎮,14166,1071,184,106,170,255,204,195,4349,888,1331,28,516,70,115,823,96,107,http://www.cec.gov.tw/zh_TW/T4/n707002200000000.html
屏東縣林邊鄉,6073,297,63,29,51,101,75,17,2163,365,466,7,147,25,46,203,23,39,http://www.cec.gov.tw/zh_TW/T4/n707002300000000.html
屏東縣佳冬鄉,6481,342,90,49,63,112,101,23,1959,366,456,10,124,27,30,212,36,30,http://www.cec.gov.tw/zh_TW/T4/n707002400000000.html
屏東縣枋寮鄉,7296,527,127,51,107,97,70,35,2972,401,513,4,211,34,37,238,37,26,http://www.cec.gov.tw/zh_TW/T4/n707002500000000.html
屏東縣春日鄉,190,192,17,5,13,60,65,11,1435,28,58,3,22,6,33,37,8,2,http://www.cec.gov.tw/zh_TW/T4/n707002600000000.html
屏東縣枋山鄉,1887,118,33,5,12,30,20,6,589,42,59,5,20,5,7,42,12,7,http://www.cec.gov.tw/zh_TW/T4/n707002700000000.html
屏東縣獅子鄉,297,267,10,1,37,56,153,6,1425,15,36,3,20,5,5,39,7,0,http://www.cec.gov.tw/zh_TW/T4/n707002800000000.html
屏東縣牡丹鄉,261,307,11,6,15,34,75,3,1248,12,50,0,20,2,14,52,13,3,http://www.cec.gov.tw/zh_TW/T4/n707002900000000.html
屏東縣車城鄉,2453,179,52,12,32,39,26,12,936,113,125,6,47,11,27,60,10,7,http://www.cec.gov.tw/zh_TW/T4/n707003000000000.html
屏東縣滿州鄉,1837,208,40,13,18,36,21,11,928,58,89,4,47,12,46,48,14,6,http://www.cec.gov.tw/zh_TW/T4/n707003100000000.html
屏東縣恆春鎮,6770,731,152,67,66,147,146,34,3284,232,455,12,212,42,57,392,62,52,http://www.cec.gov.tw/zh_TW/T4/n707003200000000.html
屏東縣琉球鄉,1848,329,29,24,24,91,19,28,1393,118,206,4,80,8,22,127,6,15,http://www.cec.gov.tw/zh_TW/T4/n707003300000000.html
宜蘭縣,115242,13936,881,764,1778,2717,2619,1041,53256,6947,13960,379,6002,699,1773,6137,955,1340,http://www.cec.gov.tw/zh_TW/T4/n708000000000000.html
宜蘭縣宜蘭市,20796,2915,178,113,490,480,733,196,12192,1454,3142,78,1689,103,188,1837,158,303,http://www.cec.gov.tw/zh_TW/T4/n708000100000000.html
宜蘭縣羅東鎮,17608,1901,97,76,263,344,440,122,8177,1068,2477,43,1093,112,357,1085,133,177,http://www.cec.gov.tw/zh_TW/T4/n708000200000000.html
宜蘭縣蘇澳鎮,10657,1350,105,85,153,222,130,90,4518,570,1104,46,400,75,225,463,98,102,http://www.cec.gov.tw/zh_TW/T4/n708000300000000.html
宜蘭縣頭城鎮,5876,1064,86,87,84,252,133,155,3997,404,812,29,299,53,96,330,65,87,http://www.cec.gov.tw/zh_TW/T4/n708000400000000.html
宜蘭縣礁溪鄉,9603,1057,81,71,123,379,172,76,4399,535,963,27,406,68,92,414,79,125,http://www.cec.gov.tw/zh_TW/T4/n708000500000000.html
宜蘭縣壯圍鄉,7035,620,40,50,80,170,110,45,2555,347,677,25,249,39,82,272,62,70,http://www.cec.gov.tw/zh_TW/T4/n708000600000000.html
